# run_id=clean_20260909_053522
# seed=42
# timestamp=2026-09-09T05:35:22.478665
run_id,timestamp,frame_id,fps,target_id,gt_x,gt_y,est_x,est_y,error_px,angular_error_deg,detection_confidence,detected,tracker_state,pan_cmd,tilt_cmd,pan_actual,tilt_actual,processing_time_ms
clean_20260909_053522,0.0000,0,0.0,beacon_01,917.33,306.00,917.39,305.87,268.13,12.6617,1.0000,1,ACQUIRING,1.5626,0.3614,0.0000,0.0000,56.71
clean_20260909_053522,0.0333,1,0.0,beacon_01,884.00,312.17,891.42,310.75,256.20,12.0988,1.0000,1,ACQUIRING,1.8218,0.4227,1.5626,0.3614,31.16
clean_20260909_053522,0.0667,2,0.0,beacon_01,878.47,312.94,878.63,312.92,243.23,11.4874,1.0000,1,TRACKING,2.0601,0.4803,1.8218,0.4227,25.53
clean_20260909_053522,0.1000,3,0.0,beacon_01,873.38,313.64,871.14,314.11,235.66,11.1308,1.0000,1,TRACKING,2.3139,0.5417,2.0601,0.4803,16.11
clean_20260909_053522,0.1333,4,0.0,beacon_01,867.96,314.41,865.41,314.97,229.86,10.8582,1.0000,1,TRACKING,2.5688,0.6037,2.3139,0.5417,15.90
clean_20260909_053522,0.1667,5,0.0,beacon_01,862.52,315.19,860.32,315.69,224.73,10.6166,1.0000,1,TRACKING,2.8203,0.6653,2.5688,0.6037,16.98
clean_20260909_053522,0.2000,6,0.0,beacon_01,857.15,315.96,855.43,316.30,219.82,10.3862,1.0000,1,TRACKING,3.0667,0.7266,2.8203,0.6653,16.50
clean_20260909_053522,0.2333,7,0.0,beacon_01,851.89,316.73,850.55,316.96,214.91,10.1551,1.0000,1,TRACKING,3.3071,0.7867,3.0667,0.7266,16.29
clean_20260909_053522,0.2667,8,0.0,beacon_01,846.75,317.48,845.80,317.62,210.12,9.9301,1.0000,1,TRACKING,3.5420,0.8458,3.3071,0.7867,17.03
clean_20260909_053522,0.3000,9,0.0,beacon_01,841.73,318.21,841.04,318.36,205.31,9.7035,1.0000,1,TRACKING,3.7710,0.9034,3.5420,0.8458,15.98
clean_20260909_053522,0.3333,10,0.0,beacon_01,836.84,318.91,836.37,319.01,200.60,9.4822,1.0000,1,TRACKING,3.9946,0.9605,3.7710,0.9034,15.52
clean_20260909_053522,0.3667,11,0.0,beacon_01,832.06,319.60,831.76,319.62,195.96,9.2642,1.0000,1,TRACKING,4.2127,1.0170,3.9946,0.9605,17.93
clean_20260909_053522,0.4000,12,0.0,beacon_01,827.40,320.28,827.14,320.33,191.30,9.0449,1.0000,1,TRACKING,4.4250,1.0718,4.2127,1.0170,17.59
clean_20260909_053522,0.4333,13,0.0,beacon_01,822.86,320.94,822.62,320.96,186.74,8.8307,1.0000,1,TRACKING,4.6320,1.1261,4.4250,1.0718,17.10
clean_20260909_053522,0.4667,14,0.0,beacon_01,818.43,321.58,818.18,321.65,182.25,8.6194,1.0000,1,TRACKING,4.8339,1.1791,4.6320,1.1261,18.10
clean_20260909_053522,0.5000,15,0.0,beacon_01,814.11,322.20,813.92,322.26,177.96,8.4175,1.0000,1,TRACKING,5.0313,1.2316,4.8339,1.1791,16.50
clean_20260909_053522,0.5333,16,0.0,beacon_01,809.88,322.81,809.61,322.83,173.63,8.2142,1.0000,1,TRACKING,5.2232,1.2835,5.0313,1.2316,16.00
clean_20260909_053522,0.5667,17,0.0,beacon_01,805.77,323.41,805.45,323.42,169.45,8.0173,1.0000,1,TRACKING,5.4105,1.3344,5.2232,1.2835,17.92
clean_20260909_053522,0.6000,18,0.0,beacon_01,801.76,323.99,801.54,323.99,165.50,7.8319,1.0000,1,TRACKING,5.5941,1.3846,5.4105,1.3344,19.43
clean_20260909_053522,0.6333,19,0.0,beacon_01,797.83,324.56,797.57,324.54,161.51,7.6442,1.0000,1,TRACKING,5.7724,1.4341,5.5941,1.3846,17.61
clean_20260909_053522,0.6667,20,0.0,beacon_01,794.00,325.11,793.76,325.13,157.66,7.4633,1.0000,1,TRACKING,5.9468,1.4825,5.7724,1.4341,16.44
clean_20260909_053522,0.7000,21,0.0,beacon_01,790.27,325.65,790.09,325.68,153.96,7.2893,1.0000,1,TRACKING,6.1172,1.5303,5.9468,1.4825,16.05
clean_20260909_053522,0.7333,22,0.0,beacon_01,786.61,326.18,786.39,326.24,150.24,7.1139,1.0000,1,TRACKING,6.2828,1.5772,6.1172,1.5303,15.96
clean_20260909_053522,0.7667,23,0.0,beacon_01,783.05,326.69,782.90,326.67,146.73,6.9495,1.0000,1,TRACKING,6.4451,1.6242,6.2828,1.5772,17.20
clean_20260909_053522,0.8000,24,0.0,beacon_01,779.57,327.20,779.36,327.23,143.16,6.7814,1.0000,1,TRACKING,6.6027,1.6696,6.4451,1.6242,17.65
clean_20260909_053522,0.8333,25,0.0,beacon_01,776.19,327.68,776.05,327.70,139.83,6.6248,1.0000,1,TRACKING,6.7572,1.7148,6.6027,1.6696,18.28
clean_20260909_053522,0.8667,26,0.0,beacon_01,772.87,328.16,772.67,328.21,136.43,6.4649,1.0000,1,TRACKING,6.9073,1.7591,6.7572,1.7148,16.34
clean_20260909_053522,0.9000,27,0.0,beacon_01,769.64,328.62,769.45,328.68,133.19,6.3125,1.0000,1,TRACKING,7.0540,1.8029,6.9073,1.7591,15.96
clean_20260909_053522,0.9333,28,0.0,beacon_01,766.49,329.08,766.30,329.15,130.01,6.1632,1.0000,1,TRACKING,7.1970,1.8460,7.0540,1.8029,16.17
clean_20260909_053522,0.9667,29,0.0,beacon_01,763.41,329.52,763.21,329.56,126.91,6.0179,1.0000,1,TRACKING,7.3366,1.8888,7.1970,1.8460,17.10
clean_20260909_053522,1.0000,30,0.0,beacon_01,760.40,329.95,760.26,329.93,123.96,5.8794,1.0000,1,TRACKING,7.4731,1.9312,7.3366,1.8888,16.98
clean_20260909_053522,1.0333,31,0.0,beacon_01,757.46,330.38,757.27,330.35,120.96,5.7387,1.0000,1,TRACKING,7.6057,1.9729,7.4731,1.9312,18.73
clean_20260909_053522,1.0667,32,0.0,beacon_01,754.61,330.80,754.39,330.75,118.07,5.6028,1.0000,1,TRACKING,7.7351,2.0140,7.6057,1.9729,16.12
clean_20260909_053522,1.1000,33,0.0,beacon_01,751.81,331.20,751.59,331.21,115.25,5.4701,1.0000,1,TRACKING,7.8615,2.0541,7.7351,2.0140,15.66
clean_20260909_053522,1.1333,34,0.0,beacon_01,749.09,331.59,748.92,331.57,112.57,5.3445,1.0000,1,TRACKING,7.9852,2.0942,7.8615,2.0541,16.29
clean_20260909_053522,1.1667,35,0.0,beacon_01,746.42,331.98,746.30,331.92,109.95,5.2215,1.0000,1,TRACKING,8.1058,2.1339,7.9852,2.0942,17.22
clean_20260909_053522,1.2000,36,0.0,beacon_01,743.81,332.36,743.62,332.33,107.25,5.0947,1.0000,1,TRACKING,8.2227,2.1726,8.1058,2.1339,16.57
clean_20260909_053522,1.2333,37,0.0,beacon_01,741.28,332.72,741.15,332.68,104.77,4.9783,1.0000,1,TRACKING,8.3376,2.2111,8.2227,2.1726,17.36
clean_20260909_053522,1.2667,38,0.0,beacon_01,738.80,333.08,738.70,333.08,102.30,4.8622,1.0000,1,TRACKING,8.4495,2.2488,8.3376,2.2111,16.56
clean_20260909_053522,1.3000,39,0.0,beacon_01,736.38,333.43,736.25,333.40,99.86,4.7475,1.0000,1,TRACKING,8.5583,2.2864,8.4495,2.2488,15.58
clean_20260909_053522,1.3333,40,0.0,beacon_01,734.02,333.77,733.90,333.82,97.48,4.6357,1.0000,1,TRACKING,8.6647,2.3228,8.5583,2.2864,17.63
clean_20260909_053522,1.3667,41,0.0,beacon_01,731.71,334.09,731.61,334.19,95.17,4.5272,1.0000,1,TRACKING,8.7684,2.3591,8.6647,2.3228,17.56
clean_20260909_053522,1.4000,42,0.0,beacon_01,729.46,334.41,729.34,334.47,92.92,4.4216,1.0000,1,TRACKING,8.8695,2.3953,8.7684,2.3591,20.20
